date,AAASPR,BAASPR,CAPUTIL,COMMCRB,CONSGOVT,CONSPRIV,CONSSENT,CPAPERSPR,DEBTGOVT,DISPINC,DIVYIELD,EARNINGS,ECONSENT,EMPL,EXCHTRW,EXPORT,FEDFUNDS,GDP,HOURS,HOUSEPERMIT,HOUSEPRICE,HOUSESTART,IMPORT,INDPRO,INVENTO,INVESTM,LIABCORP,LIABHH,LOANSCORP,LOANSHH,NWCORP,NWHH,ORDERNEW,ORDERUNFIL,PCEPRICE,PMI,RETAIL,SHORTSPR,STOCKPRICE,STOCKVOL,TERMSPR,ULC,UNRATE,VXO
01jul2015,1.8666999,3.0232999,76.811401,-.10820895,.51158029,.7594223,98.3,.2,-.68806458,.73237062,.11669993,.13708843,2.466666666666666,.45010123,1.9078879,-.99794072,.013400003,.33010963,-.020727403,-9.7550783,1.1764352,.40253773,.81580287,-.017868396,1.1230159,-.13260406,.24091144,.11871897,1.7292045,1.3603293,2.9017844,-1.489248,-.19500448,-1.0441927,-.086640127,50.8,.98978031,-.096700005,-3.6606584,.075400285,2.1800001,.13312705,-.33330011,20.232901
01oct2015,1.8032999,3.23,75.753304,-.025182715,.27018577,.44682217,96,.23999999,4.1715469,.31674939,.01150012,.41530013,-6.066666666666666,.50408804,1.4340367,-.3972272,.023299992,.03251842,.79667401,5.2033362,.63669556,-2.8228409,-.00042309222,-1.3144222,.63356388,-1.543448,2.1424236,-.053096481,1.7748885,1.5586576,-2.4278839,1.505087,-.72692698,-.87425977,-.09157975,48.96666666666667,-.079659887,-.036699995,2.0587986,-.063378878,2.0667,.69150817,-.066699982,18.059099
01jan2016,2.0067,3.3867002,75.298698,.022210613,.939659,.77825606,95.96666666666665,.27000001,1.4492493,.66614413,.14610004,.26104456,-.6333333333333334,.41051832,.207491,-.77115846,.20000002,.50213176,.27813962,-4.1637659,.50299019,1.4359365,.21597502,-.51892209,.48390815,-.40371254,1.1706995,-.41947928,2.0024559,1.4898677,-2.4578145,.62486982,-1.9291246,-.62127239,.16531211,49.53333333333333,.29739919,-.073300004,-6.0153637,.054793663,1.6332999,-.20742971,-.099999905,19.855801
01apr2016,1.8367,2.9133999,74.772003,.11003867,-.174547,.71559381,94.83333333333333,.30000001,-.56893921,-.10658906,-.11190009,.12519428,-.833333333333333,.38152087,-3.9999866,.97060341,.013299972,.46924463,.34519413,1.5676675,1.4229312,1.3007842,.1955362,-.57869399,.15726048,-.42904079,1.6162919,.49326724,2.2714984,1.5097084,1.0532793,1.0677435,-1.3438402,-.81114739,.084969819,51.5,1.098621,-.11659998,6.3226652,-.025428355,1.4965999,.15513736,-.033299923,15.1216
01jul2016,1.7733999,2.6933999,74.995903,-.034055091,.42954901,.63491815,100.6666666666667,.40000001,.08291626,.44726837,-.056699991,.055468529,6.833333333333333,.49116659,.83263439,1.4883547,.023400009,.54082179,.25417173,3.9101055,1.2879708,-.80740023,1.1445837,.45807004,.12578624,.12839979,1.6356593,.7960549,.26867351,1.8818779,3.4698966,1.8422682,-.25836691,-1.6372098,-.011196414,51.26666666666666,.96515048,-.099999994,4.0778146,-.08579322,1.2666,.15014459,0,12.4622
01oct2016,1.6799998,2.5099998,75.122704,.0052143182,.26347241,.6185376,107.8333333333333,.34,1.1093903,.59803766,.0053999424,.24068625,13.86666666666667,.37110144,3.6964915,-.63970786,.053299993,.50145209,.22303614,2.8684318,.54855078,8.5417824,1.8119909,.32814798,.61805981,2.2216971,1.4762063,.32908463,.74881452,.91080093,-.33665106,.88483208,2.3217235,.25810912,-.12687148,53,1.0080229,-.019999981,1.0824732,.058284182,1.7,.6191085,-.1333003,13.2403
01jan2017,1.5167,2.2166998,75.475998,-.0059876787,-.063170098,.59334385,117.5333333333333,.33000001,-1.7678146,1.1920322,-.095699906,.13642682,32,.40424651,.74184245,1.4691504,.25,.56518662,.36723578,1.8330047,.45668095,-1.8782349,.99483484,.5842706,.21255584,.84205687,.84014922,-.05216407,-.8007555,.63995337,-1.5667546,1.8035012,-.66037577,-.93987966,.054988984,56.73333333333333,1.6895276,-.11000001,5.8710918,-.032110054,1.8533001,.77462679,-.16669989,10.796
01apr2017,1.5367,2.2333999,76.462799,-.039209694,.33674756,.59315318,118.1,.19,-.89770508,.66481072,-.0273,.25055876,28.03333333333333,.34661052,-1.4644827,.38958964,.25,.53297937,.55567491,-2.3895187,2.1385014,-5.1122379,.85569876,1.3634531,.44984439,.87610257,.70207292,.76533347,-.41674858,.23763844,2.7897596,1.4322975,3.4319251,.024818482,-.086940221,55.93333333333334,.27593058,-.060000002,3.361939,.0095297545,1.3733,.39626214,-.23329973,9.7664003
01jul2017,1.4100001,2.0900002,76.272697,.010210931,-.027184565,.58473659,120.3333333333333,.2,.70805359,.57971573,-.019899964,.28414011,23.1,.36152178,-5.1705093,1.0857792,.20330006,.78768575,.29449049,1.790942,1.3210914,.511801,.31143045,-.2011158,.85509807,1.7932435,1.8627284,.54077244,.45037276,.68262696,1.3910513,1.7231026,-.56658369,.2257171,.038496412,58.5,1.0662975,-.11660004,2.9403477,-.078788191,1.2066,.34823826,-.066699982,9.1363001
01oct2017,1.1900001,1.9000001,77.591301,.034828559,.59765494,1.1331427,125.9666666666667,.17,-.34779358,.90720594,-.070200086,-.01191922,26.1,.36632523,.69333977,2.4002976,.049999952,.87105823,.80948478,3.7653315,.42582217,6.9295473,3.281085,1.8121318,.38365486,1.1366795,1.3217049,.81018782,.075066812,1.7990756,.32639769,1.9796032,2.6880617,.39007443,.17206734,58.5,2.3423054,.0033999681,5.4131665,.076814964,1.1632999,1.0439328,-.16670036,8.7934999
01jan2018,.98670006,1.7099998,77.870399,.0086655607,.47052887,.4169665,127.1,.27000001,1.7140656,1.6657313,-.051699996,.2105033,25.56666666666667,.43390867,-3.1702178,.18789832,.24339998,.62996292,.49518847,3.7256007,.89923048,4.7289519,.15116173,.56437284,.53409916,1.5123323,-.33941451,-.30937487,-.12368211,.73172551,-.27131563,.061009903,1.6047785,.28532591,.028007496,59.86666666666667,.88569647,.11329997,4.7818694,.15535848,1.2,.78704238,-.066599846,17.878099
01apr2018,1.0167,1.8566999,78.478996,-.0035820785,.6316579,.98311216,127.1666666666667,.34,-1.2556534,.66181922,.057100058,.34740192,25.5,.46811384,2.4893436,1.414257,.29000008,.86337709,.51157928,-3.0991168,1.7693511,-4.7289519,.06587445,1.11742,-.10041363,-.46168262,.042490881,.30555636,2.673861,1.4161682,3.4193926,1.21071,1.1657417,1.0097347,-.039728265,58.86666666666667,1.2803159,.10329998,-1.0824744,-.037977189,1.08,-.39228904,-.16669989,13.8754
01jul2018,.98329997,1.8866,79.104698,-.044037748,.51264715,.85317653,132.6333333333333,.16,.35381317,.80627549,-.054100037,.38853502,19.56666666666667,.44720444,2.1287558,-1.5984632,.18659997,.7210471,.54911637,-3.353121,1.1538368,-2.1396976,2.0705698,1.2567219,1.0305332,3.2134771,2.4340265,.76967686,1.2070293,.41698122,-5.3634992,1.5038821,2.1819594,.82557869,-.13631827,59.56666666666666,.82886964,.11669993,5.3244934,.019670058,.88670015,.39594448,-.10000014,12.679
01oct2018,1.0934,2.1066999,79.441299,-.034568544,-.093463376,.35651204,133.6333333333333,.22,1.4571686,.69513899,.16170001,.45622063,13.56666666666667,.4336561,1.4774908,.36558241,.2967,.27096593,.28054973,2.1214917,.1696232,-3.9707448,.85284585,.94814765,1.0568488,.73901635,-3.1160486,.39678958,1.790447,.61622423,6.0771456,-4.0451393,-1.8983554,.30050552,.042074386,56.86666666666667,.34574911,.096699953,-5.7380772,.60223746,.71659994,.15775217,0,23.258301
01jan2019,1.1766999,2.3166997,78.620499,.036201045,.7145474,.28289023,125.7666666666667,.13,-.74691772,1.1007533,.023300052,.53283447,8.866666666666667,.41033044,-.049189348,1.0155622,.18330002,.76229095,.10755217,-1.6061531,.79797739,2.3353856,-.37786189,-.48820597,1.2376873,1.4937071,6.2183313,-.22459285,2.3524544,1.0402745,-2.8868949,4.6292944,.035234034,-.40043288,-.17023942,55.36666666666667,.29375187,-.016600132,1.1110655,-.29880232,.26660013,1.3835503,.066699982,15.0803
01apr2019,1.26,2.2634001,77.749199,-.018020423,1.171906,1.1135141,128.2666666666667,.1,-1.2027435,.37695432,-.07310009,.37009084,8.466666666666667,.28983527,.76681566,-1.4541715,-.0066001415,.49844775,-.13602108,-1.8153962,1.3612206,3.4570074,-.0048922291,-.57236838,.65747797,-1.6344682,.080355398,.62531888,.38087186,1.1122674,3.9517171,1.182631,-4.0492783,-1.4906894,.19904092,52.20000000000001,1.8487077,-.096699953,5.7399344,-.30519944,.033300161,.59939051,-.23339987,15.7244
